innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,PA Reddy,RP Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.2,PA Reddy,RP Singh,NA,PA Patel,2,0,2,0,NA,NA,NA
1,0.3,PA Reddy,RP Singh,NA,PA Patel,4,0,4,0,NA,NA,NA
1,0.4,PA Reddy,RP Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.5,PA Reddy,RP Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.6,PA Reddy,RP Singh,NA,PA Patel,1,0,1,0,NA,NA,NA
1,1.1,PA Reddy,R Vinay Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.2,PA Reddy,R Vinay Kumar,NA,PA Patel,4,0,4,0,NA,NA,NA
1,1.3,PA Reddy,R Vinay Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.4,PA Reddy,R Vinay Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,1.5,PA Patel,R Vinay Kumar,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,1.6,PA Patel,R Vinay Kumar,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,2.1,PA Reddy,RP Singh,NA,PA Patel,0,0,0,1,R Vinay Kumar,caught,PA Reddy
1,2.2,KC Sangakkara,RP Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.3,KC Sangakkara,RP Singh,NA,PA Patel,4,0,4,0,NA,NA,NA
1,2.4,KC Sangakkara,RP Singh,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.5,KC Sangakkara,RP Singh,NA,PA Patel,1,0,1,0,NA,NA,NA
1,2.6,PA Patel,RP Singh,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,3.1,KC Sangakkara,R Vinay Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,3.2,PA Patel,R Vinay Kumar,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,3.3,KC Sangakkara,R Vinay Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,3.4,PA Patel,R Vinay Kumar,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,3.5,KC Sangakkara,R Vinay Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.6,KC Sangakkara,R Vinay Kumar,NA,PA Patel,4,0,4,0,NA,NA,NA
1,4.1,PA Patel,JD Unadkat,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,4.2,PA Patel,JD Unadkat,NA,KC Sangakkara,4,0,4,0,NA,NA,NA
1,4.3,PA Patel,JD Unadkat,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,4.4,KC Sangakkara,JD Unadkat,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.5,PA Patel,JD Unadkat,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,4.6,KC Sangakkara,JD Unadkat,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.1,PA Patel,M Muralitharan,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,5.2,KC Sangakkara,M Muralitharan,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.3,KC Sangakkara,M Muralitharan,NA,PA Patel,1,0,1,0,NA,NA,NA
1,5.4,PA Patel,M Muralitharan,NA,KC Sangakkara,4,0,4,0,NA,NA,NA
1,5.5,PA Patel,M Muralitharan,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,5.6,PA Patel,M Muralitharan,NA,KC Sangakkara,2,0,2,0,NA,NA,NA
1,6.1,KC Sangakkara,JD Unadkat,NA,PA Patel,1,0,1,0,NA,NA,NA
1,6.2,PA Patel,JD Unadkat,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,6.3,PA Patel,JD Unadkat,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,6.4,KC Sangakkara,JD Unadkat,NA,PA Patel,1,0,1,0,NA,NA,NA
1,6.5,PA Patel,JD Unadkat,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,6.6,KC Sangakkara,JD Unadkat,NA,PA Patel,1,0,1,0,NA,NA,NA
1,7.1,KC Sangakkara,M Muralitharan,NA,PA Patel,1,0,1,0,NA,NA,NA
1,7.2,PA Patel,M Muralitharan,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,7.3,KC Sangakkara,M Muralitharan,NA,PA Patel,1,0,1,0,NA,NA,NA
1,7.4,PA Patel,M Muralitharan,NA,KC Sangakkara,2,0,2,0,NA,NA,NA
1,7.5,PA Patel,M Muralitharan,NA,KC Sangakkara,0,0,0,1,NA,bowled,PA Patel
1,7.6,CL White,M Muralitharan,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,8.1,KC Sangakkara,M Kartik,NA,CL White,1,0,1,0,NA,NA,NA
1,8.2,CL White,M Kartik,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,8.3,KC Sangakkara,M Kartik,NA,CL White,2,0,2,0,NA,NA,NA
1,8.4,KC Sangakkara,M Kartik,NA,CL White,0,0,0,0,NA,NA,NA
1,8.5,KC Sangakkara,M Kartik,NA,CL White,1,0,1,0,NA,NA,NA
1,8.6,CL White,M Kartik,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,9.1,CL White,M Muralitharan,NA,KC Sangakkara,1,0,1,0,NA,NA,NA
1,9.2,KC Sangakkara,M Muralitharan,NA,CL White,1,0,1,0,NA,NA,NA
1,9.3,CL White,M Muralitharan,NA,KC Sangakkara,4,0,4,0,NA,NA,NA
1,9.4,CL White,M Muralitharan,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,9.5,CL White,M Muralitharan,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,9.6,CL White,M Muralitharan,NA,KC Sangakkara,0,0,0,0,NA,NA,NA
1,10.1,KC Sangakkara,M Kartik,NA,CL White,0,0,0,0,NA,NA,NA
1,10.2,KC Sangakkara,M Kartik,NA,CL White,0,0,0,1,V Kohli,caught,KC Sangakkara
1,10.3,CL White,M Kartik,NA,NLTC Perera,1,0,1,0,NA,NA,NA
