innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AJ Finch,BW Hilfenhaus,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.2,S Dhawan,BW Hilfenhaus,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.3,S Dhawan,BW Hilfenhaus,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.4,S Dhawan,BW Hilfenhaus,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,0.5,S Dhawan,BW Hilfenhaus,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,0.6,AJ Finch,BW Hilfenhaus,2legbyes,S Dhawan,0,2,2,0,NA,NA,NA
1,1.1,S Dhawan,IC Pandey,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,1.2,AJ Finch,IC Pandey,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.3,AJ Finch,IC Pandey,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,1.4,AJ Finch,IC Pandey,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.5,S Dhawan,IC Pandey,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,1.6,S Dhawan,IC Pandey,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.1,S Dhawan,BW Hilfenhaus,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,2.2,S Dhawan,BW Hilfenhaus,NA,AJ Finch,0,0,0,1,M Manhas,caught,S Dhawan
1,2.3,DA Warner,BW Hilfenhaus,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,2.4,DA Warner,BW Hilfenhaus,NA,AJ Finch,0,0,0,1,NA,lbw,DA Warner
1,2.5,KL Rahul,BW Hilfenhaus,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.6,AJ Finch,BW Hilfenhaus,NA,KL Rahul,0,0,0,0,NA,NA,NA
1,3.1,KL Rahul,IC Pandey,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,3.2,AJ Finch,IC Pandey,4legbyes,KL Rahul,0,4,4,0,NA,NA,NA
1,3.3,AJ Finch,IC Pandey,NA,KL Rahul,1,0,1,0,NA,NA,NA
1,3.4,KL Rahul,IC Pandey,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,3.5,KL Rahul,IC Pandey,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,3.6,AJ Finch,IC Pandey,NA,KL Rahul,4,0,4,0,NA,NA,NA
1,4.1,KL Rahul,MM Sharma,NA,AJ Finch,0,0,0,0,NA,NA,NA
