innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DPMD Jayawardene,DW Steyn,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.2,DPMD Jayawardene,DW Steyn,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.3,DPMD Jayawardene,DW Steyn,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.4,DPMD Jayawardene,DW Steyn,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.5,DPMD Jayawardene,DW Steyn,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,0.6,DPMD Jayawardene,DW Steyn,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,1.1,V Sehwag,I Sharma,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.2,V Sehwag,I Sharma,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.3,V Sehwag,I Sharma,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.4,V Sehwag,I Sharma,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.5,V Sehwag,I Sharma,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,1.6,V Sehwag,I Sharma,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,2.1,DPMD Jayawardene,DW Steyn,NA,V Sehwag,6,0,6,0,NA,NA,NA
1,2.2,DPMD Jayawardene,DW Steyn,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,2.3,DPMD Jayawardene,DW Steyn,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,2.4,V Sehwag,DW Steyn,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,2.5,V Sehwag,DW Steyn,NA,DPMD Jayawardene,0,0,0,0,NA,NA,NA
1,2.6,V Sehwag,DW Steyn,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,3.1,V Sehwag,I Sharma,NA,DPMD Jayawardene,1,0,1,0,NA,NA,NA
1,3.2,DPMD Jayawardene,I Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,3.3,DPMD Jayawardene,I Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,3.4,DPMD Jayawardene,I Sharma,NA,V Sehwag,0,0,0,1,NA,lbw,DPMD Jayawardene
1,3.5,UBT Chand,I Sharma,3wides,V Sehwag,0,3,3,0,NA,NA,NA
1,3.6,UBT Chand,I Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,3.7,UBT Chand,I Sharma,NA,V Sehwag,4,0,4,0,NA,NA,NA
1,4.1,V Sehwag,NLTC Perera,NA,UBT Chand,2,0,2,0,NA,NA,NA
1,4.2,V Sehwag,NLTC Perera,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,4.3,UBT Chand,NLTC Perera,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.4,UBT Chand,NLTC Perera,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.5,UBT Chand,NLTC Perera,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,4.6,UBT Chand,NLTC Perera,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.1,V Sehwag,I Sharma,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,5.2,UBT Chand,I Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.3,UBT Chand,I Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,5.4,UBT Chand,I Sharma,NA,V Sehwag,1,0,1,0,NA,NA,NA
1,5.5,V Sehwag,I Sharma,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,5.6,UBT Chand,I Sharma,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,6.1,V Sehwag,NLTC Perera,NA,UBT Chand,0,0,0,0,NA,NA,NA
1,6.2,V Sehwag,NLTC Perera,NA,UBT Chand,1,0,1,0,NA,NA,NA
1,6.3,UBT Chand,NLTC Perera,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,6.4,UBT Chand,NLTC Perera,NA,V Sehwag,0,0,0,0,NA,NA,NA
1,6.5,UBT Chand,NLTC Perera,1noballs,V Sehwag,0,1,1,0,NA,NA,NA
