innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,JJ Roy,Bipul Sharma,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.2,JJ Roy,Bipul Sharma,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,0.3,JJ Roy,Bipul Sharma,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,0.4,BB McCullum,Bipul Sharma,NA,JJ Roy,0,0,0,0,NA,NA,NA
1,0.5,BB McCullum,Bipul Sharma,NA,JJ Roy,1,0,1,0,NA,NA,NA
1,0.6,JJ Roy,Bipul Sharma,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.1,JJ Roy,B Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.2,JJ Roy,B Kumar,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,1.3,JJ Roy,B Kumar,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,1.4,JJ Roy,B Kumar,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,1.5,JJ Roy,B Kumar,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,1.6,BB McCullum,B Kumar,NA,JJ Roy,1,0,1,0,NA,NA,NA
1,2.1,BB McCullum,Bipul Sharma,NA,JJ Roy,1,0,1,0,NA,NA,NA
1,2.2,JJ Roy,Bipul Sharma,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,2.3,JJ Roy,Bipul Sharma,NA,BB McCullum,2,0,2,0,NA,NA,NA
1,2.4,JJ Roy,Bipul Sharma,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,2.5,JJ Roy,Bipul Sharma,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,2.6,JJ Roy,Bipul Sharma,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.1,JJ Roy,A Nehra,NA,BB McCullum,0,0,0,0,NA,NA,NA
1,3.2,JJ Roy,A Nehra,NA,BB McCullum,4,0,4,0,NA,NA,NA
1,3.3,JJ Roy,A Nehra,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,3.4,BB McCullum,A Nehra,NA,JJ Roy,0,0,0,0,NA,NA,NA
1,3.5,BB McCullum,A Nehra,1legbyes,JJ Roy,0,1,1,0,NA,NA,NA
1,3.6,JJ Roy,A Nehra,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,4.1,JJ Roy,Rashid Khan,NA,BB McCullum,1,0,1,0,NA,NA,NA
1,4.2,BB McCullum,Rashid Khan,NA,JJ Roy,0,0,0,0,NA,NA,NA
1,4.3,BB McCullum,Rashid Khan,NA,JJ Roy,2,0,2,0,NA,NA,NA
1,4.4,BB McCullum,Rashid Khan,NA,JJ Roy,0,0,0,0,NA,NA,NA
1,4.5,BB McCullum,Rashid Khan,NA,JJ Roy,0,0,0,1,NA,lbw,BB McCullum
1,4.6,SK Raina,Rashid Khan,NA,JJ Roy,0,0,0,0,NA,NA,NA
1,5.1,JJ Roy,B Kumar,NA,SK Raina,2,0,2,0,NA,NA,NA
1,5.2,JJ Roy,B Kumar,NA,SK Raina,0,0,0,1,S Dhawan,caught,JJ Roy
1,5.3,AJ Finch,B Kumar,NA,SK Raina,0,0,0,0,NA,NA,NA
1,5.4,AJ Finch,B Kumar,1legbyes,SK Raina,0,1,1,0,NA,NA,NA
1,5.5,SK Raina,B Kumar,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,5.6,AJ Finch,B Kumar,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.1,AJ Finch,Rashid Khan,NA,SK Raina,2,0,2,0,NA,NA,NA
1,6.2,AJ Finch,Rashid Khan,NA,SK Raina,0,0,0,1,NA,lbw,AJ Finch
1,6.3,KD Karthik,Rashid Khan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.4,SK Raina,Rashid Khan,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,6.5,KD Karthik,Rashid Khan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,6.6,SK Raina,Rashid Khan,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,7.1,SK Raina,A Nehra,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,7.2,KD Karthik,A Nehra,NA,SK Raina,4,0,4,0,NA,NA,NA
1,7.3,KD Karthik,A Nehra,NA,SK Raina,2,0,2,0,NA,NA,NA
1,7.4,KD Karthik,A Nehra,NA,SK Raina,0,0,0,0,NA,NA,NA
1,7.5,KD Karthik,A Nehra,NA,SK Raina,1,0,1,0,NA,NA,NA
1,7.6,SK Raina,A Nehra,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,8.1,KD Karthik,Rashid Khan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,8.2,KD Karthik,Rashid Khan,NA,SK Raina,0,0,0,0,NA,NA,NA
1,8.3,KD Karthik,Rashid Khan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.4,SK Raina,Rashid Khan,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,8.5,KD Karthik,Rashid Khan,NA,SK Raina,1,0,1,0,NA,NA,NA
1,8.6,SK Raina,Rashid Khan,NA,KD Karthik,0,0,0,1,NA,lbw,SK Raina
1,9.1,KD Karthik,Bipul Sharma,NA,DR Smith,0,0,0,0,NA,NA,NA
1,9.2,KD Karthik,Bipul Sharma,NA,DR Smith,1,0,1,0,NA,NA,NA
1,9.3,DR Smith,Bipul Sharma,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,9.4,KD Karthik,Bipul Sharma,NA,DR Smith,1,0,1,0,NA,NA,NA
1,9.5,DR Smith,Bipul Sharma,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,9.6,DR Smith,Bipul Sharma,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,10.1,KD Karthik,BCJ Cutting,NA,DR Smith,1,0,1,0,NA,NA,NA
1,10.2,DR Smith,BCJ Cutting,NA,KD Karthik,1,0,1,0,NA,NA,NA
1,10.3,KD Karthik,BCJ Cutting,NA,DR Smith,1,0,1,0,NA,NA,NA
1,10.4,DR Smith,BCJ Cutting,NA,KD Karthik,0,0,0,0,NA,NA,NA
1,10.5,DR Smith,BCJ Cutting,NA,KD Karthik,4,0,4,0,NA,NA,NA
1,10.6,DR Smith,BCJ Cutting,NA,KD Karthik,1,0,1,0,NA,NA,NA
