innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AJ Finch,Sandeep Sharma,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,0.2,AJ Finch,Sandeep Sharma,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.3,S Dhawan,Sandeep Sharma,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.4,S Dhawan,Sandeep Sharma,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.5,S Dhawan,Sandeep Sharma,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,0.6,S Dhawan,Sandeep Sharma,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,1.1,S Dhawan,MG Johnson,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,1.2,AJ Finch,MG Johnson,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.3,S Dhawan,MG Johnson,1wides,AJ Finch,0,1,1,0,NA,NA,NA
1,1.4,S Dhawan,MG Johnson,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,1.5,S Dhawan,MG Johnson,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,1.6,S Dhawan,MG Johnson,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,1.7,S Dhawan,MG Johnson,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.1,S Dhawan,Sandeep Sharma,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,2.2,AJ Finch,Sandeep Sharma,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,2.3,AJ Finch,Sandeep Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.4,AJ Finch,Sandeep Sharma,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.5,S Dhawan,Sandeep Sharma,1legbyes,AJ Finch,0,1,1,0,NA,NA,NA
1,2.6,AJ Finch,Sandeep Sharma,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.1,AJ Finch,MG Johnson,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.2,AJ Finch,MG Johnson,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,3.3,AJ Finch,MG Johnson,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.4,AJ Finch,MG Johnson,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,3.5,AJ Finch,MG Johnson,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.6,AJ Finch,MG Johnson,1wides,S Dhawan,0,1,1,0,NA,NA,NA
1,3.7,AJ Finch,MG Johnson,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.8,S Dhawan,MG Johnson,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.1,AJ Finch,Sandeep Sharma,1noballs,S Dhawan,1,1,2,0,NA,NA,NA
1,4.2,S Dhawan,Sandeep Sharma,1noballs,AJ Finch,4,1,5,0,NA,NA,NA
1,4.3,S Dhawan,Sandeep Sharma,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,4.4,S Dhawan,Sandeep Sharma,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,4.5,S Dhawan,Sandeep Sharma,NA,AJ Finch,6,0,6,0,NA,NA,NA
1,4.6,S Dhawan,Sandeep Sharma,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,4.7,S Dhawan,Sandeep Sharma,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,4.8,S Dhawan,Sandeep Sharma,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,5.1,S Dhawan,MG Johnson,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,5.2,S Dhawan,MG Johnson,NA,AJ Finch,4,0,4,0,NA,NA,NA
1,5.3,S Dhawan,MG Johnson,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,5.4,S Dhawan,MG Johnson,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,5.5,AJ Finch,MG Johnson,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,5.6,AJ Finch,MG Johnson,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,6.1,AJ Finch,Shivam Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.2,AJ Finch,Shivam Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.3,AJ Finch,Shivam Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.4,AJ Finch,Shivam Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.5,AJ Finch,Shivam Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,6.6,AJ Finch,Shivam Sharma,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,7.1,S Dhawan,AR Patel,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,7.2,S Dhawan,AR Patel,NA,AJ Finch,1,0,1,0,NA,NA,NA
1,7.3,AJ Finch,AR Patel,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,7.4,S Dhawan,AR Patel,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,7.5,S Dhawan,AR Patel,NA,AJ Finch,6,0,6,0,NA,NA,NA
1,7.6,S Dhawan,AR Patel,NA,AJ Finch,0,0,0,0,NA,NA,NA
1,8.1,AJ Finch,Shivam Sharma,NA,S Dhawan,0,0,0,1,NA,bowled,AJ Finch
1,8.2,NV Ojha,Shivam Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,8.3,NV Ojha,Shivam Sharma,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,8.4,NV Ojha,Shivam Sharma,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,8.5,S Dhawan,Shivam Sharma,NA,NV Ojha,0,0,0,0,NA,NA,NA
1,8.6,S Dhawan,Shivam Sharma,NA,NV Ojha,1,0,1,0,NA,NA,NA
1,9.1,S Dhawan,R Dhawan,NA,NV Ojha,1,0,1,0,NA,NA,NA
