innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,UT Yadav,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.2,DA Warner,UT Yadav,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.3,S Dhawan,UT Yadav,NA,DA Warner,0,0,0,0,NA,NA,NA
1,0.4,S Dhawan,UT Yadav,NA,DA Warner,1,0,1,0,NA,NA,NA
1,0.5,DA Warner,UT Yadav,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,0.6,DA Warner,UT Yadav,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.1,DA Warner,TA Boult,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.2,DA Warner,TA Boult,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.3,DA Warner,TA Boult,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,1.4,S Dhawan,TA Boult,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.5,DA Warner,TA Boult,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.6,DA Warner,TA Boult,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,2.1,S Dhawan,UT Yadav,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.2,DA Warner,UT Yadav,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.3,S Dhawan,UT Yadav,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.4,S Dhawan,UT Yadav,NA,DA Warner,0,0,0,0,NA,NA,NA
1,2.5,S Dhawan,UT Yadav,NA,DA Warner,4,0,4,0,NA,NA,NA
1,2.6,S Dhawan,UT Yadav,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.1,S Dhawan,TA Boult,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.2,DA Warner,TA Boult,1legbyes,S Dhawan,0,1,1,0,NA,NA,NA
1,3.3,S Dhawan,TA Boult,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.4,DA Warner,TA Boult,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,3.5,DA Warner,TA Boult,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.6,S Dhawan,TA Boult,NA,DA Warner,1,0,1,0,NA,NA,NA
