innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,LMP Simmons,B Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,0.2,PA Patel,B Kumar,1wides,LMP Simmons,0,1,1,0,NA,NA,NA
1,0.3,PA Patel,B Kumar,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,0.4,PA Patel,B Kumar,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,0.5,PA Patel,B Kumar,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,0.6,LMP Simmons,B Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.7,LMP Simmons,B Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.1,PA Patel,Mohammad Nabi,NA,LMP Simmons,0,0,0,0,NA,NA,NA
1,1.2,PA Patel,Mohammad Nabi,NA,LMP Simmons,1,0,1,0,NA,NA,NA
1,1.3,LMP Simmons,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.4,LMP Simmons,Mohammad Nabi,NA,PA Patel,0,0,0,1,NA,bowled,LMP Simmons
1,1.5,N Rana,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.6,N Rana,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,2.1,PA Patel,Mohammed Siraj,NA,N Rana,0,0,0,0,NA,NA,NA
1,2.2,PA Patel,Mohammed Siraj,NA,N Rana,6,0,6,0,NA,NA,NA
1,2.3,PA Patel,Mohammed Siraj,NA,N Rana,1,0,1,0,NA,NA,NA
1,2.4,N Rana,Mohammed Siraj,NA,PA Patel,4,0,4,0,NA,NA,NA
1,2.5,N Rana,Mohammed Siraj,1wides,PA Patel,0,1,1,0,NA,NA,NA
1,2.6,N Rana,Mohammed Siraj,NA,PA Patel,4,0,4,0,NA,NA,NA
1,2.7,N Rana,Mohammed Siraj,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.1,PA Patel,Mohammad Nabi,NA,N Rana,1,0,1,0,NA,NA,NA
1,3.2,N Rana,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.3,N Rana,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.4,N Rana,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.5,N Rana,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.6,N Rana,Mohammad Nabi,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.1,N Rana,S Kaul,NA,PA Patel,0,0,0,1,B Kumar,caught,N Rana
1,4.2,PA Patel,S Kaul,NA,RG Sharma,2,0,2,0,NA,NA,NA
1,4.3,PA Patel,S Kaul,NA,RG Sharma,2,0,2,0,NA,NA,NA
1,4.4,PA Patel,S Kaul,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,4.5,RG Sharma,S Kaul,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.6,PA Patel,S Kaul,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,5.1,PA Patel,Mohammad Nabi,NA,RG Sharma,2,0,2,0,NA,NA,NA
1,5.2,PA Patel,Mohammad Nabi,NA,RG Sharma,4,0,4,0,NA,NA,NA
1,5.3,PA Patel,Mohammad Nabi,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,5.4,RG Sharma,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.5,RG Sharma,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,5.6,RG Sharma,Mohammad Nabi,NA,PA Patel,0,0,0,0,NA,NA,NA
1,6.1,PA Patel,S Kaul,NA,RG Sharma,0,0,0,1,DA Warner,caught,PA Patel
1,6.2,RG Sharma,S Kaul,NA,HH Pandya,2,0,2,0,NA,NA,NA
1,6.3,RG Sharma,S Kaul,NA,HH Pandya,2,0,2,0,NA,NA,NA
1,6.4,RG Sharma,S Kaul,NA,HH Pandya,0,0,0,0,NA,NA,NA
1,6.5,RG Sharma,S Kaul,NA,HH Pandya,0,0,0,0,NA,NA,NA
1,6.6,RG Sharma,S Kaul,NA,HH Pandya,2,0,2,0,NA,NA,NA
1,7.1,HH Pandya,Mohammad Nabi,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,7.2,HH Pandya,Mohammad Nabi,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,7.3,HH Pandya,Mohammad Nabi,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,7.4,HH Pandya,Mohammad Nabi,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,7.5,RG Sharma,Mohammad Nabi,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,7.6,HH Pandya,Mohammad Nabi,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,8.1,HH Pandya,Rashid Khan,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,8.2,HH Pandya,Rashid Khan,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,8.3,RG Sharma,Rashid Khan,NA,HH Pandya,4,0,4,0,NA,NA,NA
1,8.4,RG Sharma,Rashid Khan,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,8.5,HH Pandya,Rashid Khan,NA,RG Sharma,2,0,2,0,NA,NA,NA
1,8.6,HH Pandya,Rashid Khan,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,9.1,RG Sharma,Mohammed Siraj,NA,HH Pandya,0,0,0,0,NA,NA,NA
1,9.2,RG Sharma,Mohammed Siraj,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,9.3,HH Pandya,Mohammed Siraj,NA,RG Sharma,3,0,3,0,NA,NA,NA
1,9.4,RG Sharma,Mohammed Siraj,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,9.5,HH Pandya,Mohammed Siraj,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,9.6,HH Pandya,Mohammed Siraj,1wides,RG Sharma,0,1,1,0,NA,NA,NA
1,9.7,HH Pandya,Mohammed Siraj,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,10.1,RG Sharma,Rashid Khan,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,10.2,HH Pandya,Rashid Khan,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,10.3,HH Pandya,Rashid Khan,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,10.4,HH Pandya,Rashid Khan,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,10.5,HH Pandya,Rashid Khan,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,10.6,RG Sharma,Rashid Khan,NA,HH Pandya,6,0,6,0,NA,NA,NA
1,11.1,HH Pandya,S Kaul,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,11.2,RG Sharma,S Kaul,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,11.3,HH Pandya,S Kaul,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,11.4,HH Pandya,S Kaul,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,11.5,RG Sharma,S Kaul,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,11.6,HH Pandya,S Kaul,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,12.1,HH Pandya,B Kumar,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,12.2,RG Sharma,B Kumar,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,12.3,HH Pandya,B Kumar,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,12.4,RG Sharma,B Kumar,NA,HH Pandya,0,0,0,0,NA,NA,NA
1,12.5,RG Sharma,B Kumar,NA,HH Pandya,4,0,4,0,NA,NA,NA
1,12.6,RG Sharma,B Kumar,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,13.1,RG Sharma,MC Henriques,NA,HH Pandya,4,0,4,0,NA,NA,NA
1,13.2,RG Sharma,MC Henriques,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,13.3,HH Pandya,MC Henriques,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,13.4,RG Sharma,MC Henriques,NA,HH Pandya,4,0,4,0,NA,NA,NA
1,13.5,RG Sharma,MC Henriques,NA,HH Pandya,4,0,4,0,NA,NA,NA
1,13.6,RG Sharma,MC Henriques,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,14.1,RG Sharma,Rashid Khan,NA,HH Pandya,1,0,1,0,NA,NA,NA
1,14.2,HH Pandya,Rashid Khan,NA,RG Sharma,0,0,0,1,MC Henriques,caught,HH Pandya
1,14.3,RG Sharma,Rashid Khan,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,14.4,RG Sharma,Rashid Khan,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,14.5,KA Pollard,Rashid Khan,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,14.6,RG Sharma,Rashid Khan,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,15.1,RG Sharma,Mohammed Siraj,NA,KA Pollard,2,0,2,0,NA,NA,NA
1,15.2,RG Sharma,Mohammed Siraj,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,15.3,KA Pollard,Mohammed Siraj,1wides,RG Sharma,0,1,1,0,NA,NA,NA
1,15.4,KA Pollard,Mohammed Siraj,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,15.5,RG Sharma,Mohammed Siraj,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,15.6,KA Pollard,Mohammed Siraj,1legbyes,RG Sharma,0,1,1,0,NA,NA,NA
1,15.7,RG Sharma,Mohammed Siraj,NA,KA Pollard,4,0,4,0,NA,NA,NA
1,16.1,KA Pollard,Rashid Khan,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,16.2,RG Sharma,Rashid Khan,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,16.3,RG Sharma,Rashid Khan,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,16.4,RG Sharma,Rashid Khan,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,16.5,KA Pollard,Rashid Khan,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,16.6,KA Pollard,Rashid Khan,NA,RG Sharma,0,0,0,0,NA,NA,NA
1,17.1,RG Sharma,B Kumar,NA,KA Pollard,2,0,2,0,NA,NA,NA
1,17.2,RG Sharma,B Kumar,NA,KA Pollard,6,0,6,0,NA,NA,NA
1,17.3,RG Sharma,B Kumar,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,17.4,KA Pollard,B Kumar,NA,RG Sharma,1,0,1,0,NA,NA,NA
1,17.5,RG Sharma,B Kumar,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,17.6,KA Pollard,B Kumar,2wides,RG Sharma,0,2,2,0,NA,NA,NA
1,17.7,RG Sharma,B Kumar,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,18.1,RG Sharma,S Kaul,NA,KA Pollard,0,0,0,1,NA,bowled,RG Sharma
1,18.2,KV Sharma,S Kaul,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,18.3,KV Sharma,S Kaul,NA,KA Pollard,1,0,1,0,NA,NA,NA
1,18.4,KA Pollard,S Kaul,NA,KV Sharma,1,0,1,0,NA,NA,NA
1,18.5,KV Sharma,S Kaul,NA,KA Pollard,0,0,0,0,NA,NA,NA
1,18.6,KV Sharma,S Kaul,NA,KA Pollard,4,0,4,0,NA,NA,NA
