innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,PA Reddy,MN Samuels,NA,PA Patel,1,0,1,0,NA,NA,NA
1,0.2,PA Patel,MN Samuels,NA,PA Reddy,1,0,1,0,NA,NA,NA
1,0.3,PA Reddy,MN Samuels,1wides,PA Patel,0,1,1,0,NA,NA,NA
1,0.4,PA Reddy,MN Samuels,NA,PA Patel,0,0,0,0,NA,NA,NA
1,0.5,PA Reddy,MN Samuels,NA,PA Patel,1,0,1,0,NA,NA,NA
1,0.6,PA Patel,MN Samuels,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,0.7,PA Patel,MN Samuels,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,1.1,PA Reddy,B Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,1.2,PA Patel,B Kumar,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,1.3,PA Patel,B Kumar,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,1.4,PA Patel,B Kumar,NA,PA Reddy,1,0,1,0,NA,NA,NA
1,1.5,PA Reddy,B Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,1.6,PA Reddy,B Kumar,NA,PA Patel,4,0,4,0,NA,NA,NA
1,2.1,PA Patel,AB Dinda,NA,PA Reddy,4,0,4,0,NA,NA,NA
1,2.2,PA Patel,AB Dinda,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,2.3,PA Patel,AB Dinda,NA,PA Reddy,2,0,2,0,NA,NA,NA
1,2.4,PA Patel,AB Dinda,NA,PA Reddy,2,0,2,0,NA,NA,NA
1,2.5,PA Patel,AB Dinda,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,2.6,PA Patel,AB Dinda,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,3.1,PA Reddy,B Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.2,PA Reddy,B Kumar,NA,PA Patel,0,0,0,0,NA,NA,NA
1,3.3,PA Reddy,B Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,3.4,PA Patel,B Kumar,NA,PA Reddy,0,0,0,0,NA,NA,NA
1,3.5,PA Patel,B Kumar,1legbyes,PA Reddy,0,1,1,0,NA,NA,NA
1,3.6,PA Reddy,B Kumar,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.1,PA Reddy,MN Samuels,NA,PA Patel,0,0,0,0,NA,NA,NA
1,4.2,PA Reddy,MN Samuels,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.3,PA Patel,MN Samuels,NA,PA Reddy,4,0,4,0,NA,NA,NA
1,4.4,PA Patel,MN Samuels,NA,PA Reddy,1,0,1,0,NA,NA,NA
1,4.5,PA Reddy,MN Samuels,NA,PA Patel,1,0,1,0,NA,NA,NA
1,4.6,PA Patel,MN Samuels,NA,PA Reddy,4,0,4,0,NA,NA,NA
