innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AJ Finch,DS Kulkarni,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.2,AJ Finch,DS Kulkarni,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.3,AJ Finch,DS Kulkarni,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,0.4,AJ Finch,DS Kulkarni,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.5,AJ Finch,DS Kulkarni,NA,S Dhawan,0,0,0,1,KW Richardson,caught,AJ Finch
1,0.6,DA Warner,DS Kulkarni,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.1,S Dhawan,KW Richardson,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.2,S Dhawan,KW Richardson,1wides,DA Warner,0,1,1,0,NA,NA,NA
1,1.3,S Dhawan,KW Richardson,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.4,S Dhawan,KW Richardson,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.5,S Dhawan,KW Richardson,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.6,DA Warner,KW Richardson,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.7,DA Warner,KW Richardson,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,2.1,S Dhawan,JP Faulkner,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.2,DA Warner,JP Faulkner,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,2.3,DA Warner,JP Faulkner,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.4,S Dhawan,JP Faulkner,5wides,DA Warner,0,5,5,0,NA,NA,NA
1,2.5,S Dhawan,JP Faulkner,NA,DA Warner,1,0,1,0,NA,NA,NA
1,2.6,DA Warner,JP Faulkner,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,2.7,S Dhawan,JP Faulkner,NA,DA Warner,2,0,2,0,NA,NA,NA
1,3.1,DA Warner,DS Kulkarni,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.2,S Dhawan,DS Kulkarni,NA,DA Warner,0,0,0,0,NA,NA,NA
1,3.3,S Dhawan,DS Kulkarni,1legbyes,DA Warner,0,1,1,0,NA,NA,NA
1,3.4,DA Warner,DS Kulkarni,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,3.5,S Dhawan,DS Kulkarni,NA,DA Warner,0,0,0,0,NA,NA,NA
1,3.6,S Dhawan,DS Kulkarni,NA,DA Warner,4,0,4,0,NA,NA,NA
1,4.1,DA Warner,KW Richardson,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,4.2,DA Warner,KW Richardson,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,4.3,S Dhawan,KW Richardson,1wides,DA Warner,0,1,1,0,NA,NA,NA
1,4.4,S Dhawan,KW Richardson,NA,DA Warner,0,0,0,0,NA,NA,NA
1,4.5,S Dhawan,KW Richardson,NA,DA Warner,1,0,1,0,NA,NA,NA
1,4.6,DA Warner,KW Richardson,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,4.7,S Dhawan,KW Richardson,NA,DA Warner,1,0,1,0,NA,NA,NA
1,5.1,S Dhawan,JP Faulkner,NA,DA Warner,0,0,0,0,NA,NA,NA
