innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,AM Rahane,B Kumar,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.2,AM Rahane,B Kumar,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.3,AM Rahane,B Kumar,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,0.4,RA Tripathi,B Kumar,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,0.5,AM Rahane,B Kumar,NA,RA Tripathi,0,0,0,0,NA,NA,NA
1,0.6,AM Rahane,B Kumar,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,1.1,AM Rahane,A Nehra,NA,RA Tripathi,2,0,2,0,NA,NA,NA
1,1.2,AM Rahane,A Nehra,NA,RA Tripathi,1,0,1,0,NA,NA,NA
1,1.3,RA Tripathi,A Nehra,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.4,RA Tripathi,A Nehra,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,1.5,RA Tripathi,A Nehra,NA,AM Rahane,0,0,0,1,Bipul Sharma,run out,RA Tripathi
1,1.6,SPD Smith,A Nehra,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,2.1,AM Rahane,B Kumar,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,2.2,SPD Smith,B Kumar,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,2.3,AM Rahane,B Kumar,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,2.4,SPD Smith,B Kumar,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,2.5,AM Rahane,B Kumar,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,2.6,SPD Smith,B Kumar,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.1,SPD Smith,S Kaul,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,3.2,SPD Smith,S Kaul,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,3.3,SPD Smith,S Kaul,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,3.4,AM Rahane,S Kaul,NA,SPD Smith,2,0,2,0,NA,NA,NA
1,3.5,AM Rahane,S Kaul,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,3.6,SPD Smith,S Kaul,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.1,SPD Smith,Rashid Khan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.2,AM Rahane,Rashid Khan,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.3,SPD Smith,Rashid Khan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,4.4,AM Rahane,Rashid Khan,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,4.5,SPD Smith,Rashid Khan,NA,AM Rahane,0,0,0,0,NA,NA,NA
1,4.6,SPD Smith,Rashid Khan,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.1,SPD Smith,A Nehra,1wides,AM Rahane,0,1,1,0,NA,NA,NA
1,5.2,SPD Smith,A Nehra,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.3,AM Rahane,MC Henriques,NA,SPD Smith,0,0,0,0,NA,NA,NA
1,5.4,AM Rahane,MC Henriques,NA,SPD Smith,6,0,6,0,NA,NA,NA
1,5.5,AM Rahane,MC Henriques,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,5.6,SPD Smith,MC Henriques,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,5.7,AM Rahane,MC Henriques,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,6.1,AM Rahane,Bipul Sharma,NA,SPD Smith,1,0,1,0,NA,NA,NA
1,6.2,SPD Smith,Bipul Sharma,NA,AM Rahane,2,0,2,0,NA,NA,NA
1,6.3,SPD Smith,Bipul Sharma,NA,AM Rahane,1,0,1,0,NA,NA,NA
1,6.4,AM Rahane,Bipul Sharma,NA,SPD Smith,0,0,0,1,Yuvraj Singh,caught,AM Rahane
1,6.5,SPD Smith,Bipul Sharma,NA,BA Stokes,1,0,1,0,NA,NA,NA
1,6.6,BA Stokes,Bipul Sharma,NA,SPD Smith,0,0,0,0,NA,NA,NA
