innings,ball,batsman,bowler,extras,non_striker,batsman_run,extras_run,total_run,wicket,fielders,wicket_kind,player_out
1,0.1,DA Warner,MA Starc,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,0.2,DA Warner,MA Starc,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,0.3,DA Warner,MA Starc,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.4,S Dhawan,MA Starc,1legbyes,DA Warner,0,1,1,0,NA,NA,NA
1,0.5,DA Warner,MA Starc,NA,S Dhawan,1,0,1,0,NA,NA,NA
1,0.6,S Dhawan,MA Starc,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.1,S Dhawan,HV Patel,NA,DA Warner,0,0,0,0,NA,NA,NA
1,1.2,S Dhawan,HV Patel,NA,DA Warner,2,0,2,0,NA,NA,NA
1,1.3,S Dhawan,HV Patel,NA,DA Warner,1,0,1,0,NA,NA,NA
1,1.4,DA Warner,HV Patel,NA,S Dhawan,0,0,0,0,NA,NA,NA
1,1.5,DA Warner,HV Patel,NA,S Dhawan,2,0,2,0,NA,NA,NA
1,1.6,DA Warner,HV Patel,NA,S Dhawan,4,0,4,0,NA,NA,NA
1,2.1,S Dhawan,D Wiese,NA,DA Warner,4,0,4,0,NA,NA,NA
1,2.2,S Dhawan,D Wiese,NA,DA Warner,0,0,0,1,AB Dinda,caught,S Dhawan
1,2.3,MC Henriques,D Wiese,2wides,DA Warner,0,2,2,0,NA,NA,NA
1,2.4,DA Warner,D Wiese,NA,MC Henriques,4,0,4,0,NA,NA,NA
1,2.5,DA Warner,D Wiese,NA,MC Henriques,0,0,0,0,NA,NA,NA
1,2.6,DA Warner,D Wiese,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,2.7,MC Henriques,D Wiese,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.1,MC Henriques,AB Dinda,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.2,DA Warner,AB Dinda,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,3.3,MC Henriques,AB Dinda,NA,DA Warner,1,0,1,0,NA,NA,NA
1,3.4,DA Warner,AB Dinda,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,3.5,MC Henriques,AB Dinda,1legbyes,DA Warner,0,1,1,0,NA,NA,NA
1,3.6,DA Warner,AB Dinda,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,4.1,DA Warner,YS Chahal,NA,MC Henriques,4,0,4,0,NA,NA,NA
1,4.2,DA Warner,YS Chahal,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,4.3,MC Henriques,YS Chahal,NA,DA Warner,1,0,1,0,NA,NA,NA
1,4.4,DA Warner,YS Chahal,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,4.5,MC Henriques,YS Chahal,NA,DA Warner,6,0,6,0,NA,NA,NA
1,4.6,MC Henriques,YS Chahal,NA,DA Warner,4,0,4,0,NA,NA,NA
1,5.1,DA Warner,AB Dinda,1noballs,MC Henriques,1,1,2,0,NA,NA,NA
1,5.2,MC Henriques,AB Dinda,NA,DA Warner,1,0,1,0,NA,NA,NA
1,5.3,DA Warner,AB Dinda,NA,MC Henriques,0,0,0,0,NA,NA,NA
1,5.4,DA Warner,AB Dinda,NA,MC Henriques,2,0,2,0,NA,NA,NA
1,5.5,DA Warner,AB Dinda,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,5.6,MC Henriques,AB Dinda,1noballs,DA Warner,4,1,5,0,NA,NA,NA
1,5.7,MC Henriques,AB Dinda,NA,DA Warner,6,0,6,0,NA,NA,NA
1,5.8,MC Henriques,AB Dinda,NA,DA Warner,1,0,1,0,NA,NA,NA
1,6.1,MC Henriques,HV Patel,NA,DA Warner,4,0,4,0,NA,NA,NA
1,6.2,MC Henriques,HV Patel,NA,DA Warner,4,0,4,0,NA,NA,NA
1,6.3,MC Henriques,HV Patel,NA,DA Warner,2,0,2,0,NA,NA,NA
1,6.4,MC Henriques,HV Patel,1wides,DA Warner,0,1,1,0,NA,NA,NA
1,6.5,MC Henriques,HV Patel,NA,DA Warner,6,0,6,0,NA,NA,NA
1,6.6,MC Henriques,HV Patel,NA,DA Warner,4,0,4,0,NA,NA,NA
1,6.7,MC Henriques,HV Patel,NA,DA Warner,0,0,0,0,NA,NA,NA
1,7.1,DA Warner,MA Starc,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,7.2,MC Henriques,MA Starc,NA,DA Warner,1,0,1,0,NA,NA,NA
1,7.3,DA Warner,MA Starc,NA,MC Henriques,4,0,4,0,NA,NA,NA
1,7.4,DA Warner,MA Starc,NA,MC Henriques,2,0,2,0,NA,NA,NA
1,7.5,DA Warner,MA Starc,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,7.6,MC Henriques,MA Starc,NA,DA Warner,2,0,2,0,NA,NA,NA
1,8.1,DA Warner,YS Chahal,NA,MC Henriques,6,0,6,0,NA,NA,NA
1,8.2,DA Warner,YS Chahal,NA,MC Henriques,2,0,2,0,NA,NA,NA
1,8.3,DA Warner,YS Chahal,NA,MC Henriques,0,0,0,0,NA,NA,NA
1,8.4,DA Warner,YS Chahal,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,8.5,MC Henriques,YS Chahal,NA,DA Warner,2,0,2,0,NA,NA,NA
1,8.6,MC Henriques,YS Chahal,NA,DA Warner,6,0,6,0,NA,NA,NA
1,9.1,DA Warner,D Wiese,NA,MC Henriques,4,0,4,0,NA,NA,NA
1,9.2,DA Warner,D Wiese,NA,MC Henriques,1,0,1,0,NA,NA,NA
1,9.3,MC Henriques,D Wiese,NA,DA Warner,0,0,0,1,KD Karthik,caught,MC Henriques
1,9.4,EJG Morgan,D Wiese,NA,DA Warner,1,0,1,0,NA,NA,NA
1,9.5,DA Warner,D Wiese,NA,EJG Morgan,1,0,1,0,NA,NA,NA
1,9.6,EJG Morgan,D Wiese,NA,DA Warner,1,0,1,0,NA,NA,NA
1,10.1,EJG Morgan,MA Starc,NA,DA Warner,0,0,0,0,NA,NA,NA
1,10.2,EJG Morgan,MA Starc,NA,DA Warner,1,0,1,0,NA,NA,NA
1,10.3,DA Warner,MA Starc,NA,EJG Morgan,1,0,1,0,NA,NA,NA
1,10.4,EJG Morgan,MA Starc,NA,DA Warner,2,0,2,0,NA,NA,NA
1,10.5,EJG Morgan,MA Starc,NA,DA Warner,6,0,6,0,NA,NA,NA
1,10.6,EJG Morgan,MA Starc,NA,DA Warner,0,0,0,1,Mandeep Singh,caught,EJG Morgan
2,0.1,CH Gayle,DW Steyn,NA,V Kohli,4,0,4,0,NA,NA,NA
2,0.2,CH Gayle,DW Steyn,NA,V Kohli,6,0,6,0,NA,NA,NA
2,0.3,CH Gayle,DW Steyn,NA,V Kohli,1,0,1,0,NA,NA,NA
2,0.4,V Kohli,DW Steyn,NA,CH Gayle,4,0,4,0,NA,NA,NA
2,0.5,V Kohli,DW Steyn,NA,CH Gayle,2,0,2,0,NA,NA,NA
2,0.6,V Kohli,DW Steyn,NA,CH Gayle,0,0,0,0,NA,NA,NA
2,1.1,CH Gayle,B Kumar,NA,V Kohli,4,0,4,0,NA,NA,NA
2,1.2,CH Gayle,B Kumar,NA,V Kohli,4,0,4,0,NA,NA,NA
2,1.3,CH Gayle,B Kumar,NA,V Kohli,0,0,0,0,NA,NA,NA
2,1.4,CH Gayle,B Kumar,NA,V Kohli,6,0,6,0,NA,NA,NA
2,1.5,CH Gayle,B Kumar,NA,V Kohli,4,0,4,0,NA,NA,NA
2,1.6,CH Gayle,B Kumar,NA,V Kohli,6,0,6,0,NA,NA,NA
2,2.1,V Kohli,MC Henriques,NA,CH Gayle,0,0,0,0,NA,NA,NA
2,2.2,V Kohli,MC Henriques,NA,CH Gayle,1,0,1,0,NA,NA,NA
2,2.3,CH Gayle,MC Henriques,1wides,V Kohli,0,1,1,0,NA,NA,NA
2,2.4,CH Gayle,MC Henriques,NA,V Kohli,0,0,0,1,S Dhawan,caught,CH Gayle
2,2.5,AB de Villiers,MC Henriques,NA,V Kohli,0,0,0,1,DW Steyn,caught,AB de Villiers
2,2.6,V Kohli,MC Henriques,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
2,2.7,Mandeep Singh,MC Henriques,NA,V Kohli,0,0,0,0,NA,NA,NA
2,3.1,V Kohli,KV Sharma,NA,Mandeep Singh,2,0,2,0,NA,NA,NA
2,3.2,V Kohli,KV Sharma,NA,Mandeep Singh,1,0,1,0,NA,NA,NA
2,3.3,Mandeep Singh,KV Sharma,NA,V Kohli,1,0,1,0,NA,NA,NA
2,3.4,V Kohli,KV Sharma,NA,Mandeep Singh,2,0,2,0,NA,NA,NA
2,3.5,V Kohli,KV Sharma,NA,Mandeep Singh,2,0,2,0,NA,NA,NA
2,3.6,V Kohli,KV Sharma,NA,Mandeep Singh,6,0,6,0,NA,NA,NA
2,4.1,Mandeep Singh,P Kumar,NA,V Kohli,0,0,0,1,EJG Morgan,caught,Mandeep Singh
2,4.2,V Kohli,P Kumar,NA,KD Karthik,0,0,0,0,NA,NA,NA
2,4.3,V Kohli,P Kumar,NA,KD Karthik,2,0,2,0,NA,NA,NA
2,4.4,V Kohli,P Kumar,NA,KD Karthik,6,0,6,0,NA,NA,NA
2,4.5,V Kohli,P Kumar,NA,KD Karthik,1,0,1,0,NA,NA,NA
2,4.6,KD Karthik,P Kumar,NA,V Kohli,1,0,1,0,NA,NA,NA
2,5.1,KD Karthik,B Kumar,NA,V Kohli,1,0,1,0,NA,NA,NA
2,5.2,V Kohli,B Kumar,NA,KD Karthik,0,0,0,1,B Kumar,run out,KD Karthik
2,5.3,V Kohli,B Kumar,NA,SN Khan,4,0,4,0,NA,NA,NA
2,5.4,V Kohli,B Kumar,NA,SN Khan,4,0,4,0,NA,NA,NA
2,5.5,V Kohli,B Kumar,NA,SN Khan,6,0,6,0,NA,NA,NA
